iter	Passed	Remaining
0	140	28020
1	148	14742
2	157	10324
3	165	8127
4	172	6724
5	178	5778
6	185	5103
7	192	4614
8	201	4272
9	209	3974
10	217	3729
11	225	3531
12	234	3372
13	242	3222
14	249	3073
15	257	2961
16	265	2859
17	275	2780
18	283	2701
19	291	2624
20	301	2565
21	309	2504
22	318	2452
23	327	2400
24	334	2344
25	342	2295
26	350	2246
27	359	2205
28	366	2159
29	374	2120
30	381	2081
31	390	2051
32	402	2035
33	410	2004
34	418	1975
35	427	1945
36	437	1925
37	447	1907
38	456	1884
39	465	1861
40	476	1849
41	485	1826
42	495	1810
43	504	1788
44	512	1766
45	522	1749
46	530	1728
47	539	1709
48	548	1689
49	558	1674
50	566	1654
51	573	1632
52	581	1612
53	588	1591
54	595	1571
55	603	1552
56	610	1531
57	617	1511
58	624	1493
59	632	1475
60	640	1460
61	649	1444
62	657	1428
63	664	1411
64	672	1397
65	680	1381
66	688	1365
67	696	1351
68	705	1339
69	713	1324
70	720	1309
71	727	1293
72	735	1280
73	742	1264
74	748	1248
75	757	1235
76	764	1220
77	771	1205
78	779	1193
79	785	1178
80	794	1166
81	802	1155
82	809	1141
83	816	1127
84	823	1114
85	831	1102
86	840	1091
87	847	1079
88	855	1067
89	862	1054
90	871	1043
91	879	1032
92	887	1021
93	894	1008
94	901	996
95	908	983
96	917	973
97	928	966
98	942	961
99	956	956
100	970	950
101	981	943
102	994	936
103	1005	928
104	1018	921
105	1035	918
106	1044	908
107	1052	896
108	1062	886
109	1071	876
110	1080	866
111	1090	856
112	1098	845
113	1109	837
114	1119	827
115	1130	818
116	1138	807
117	1146	796
118	1153	785
119	1161	774
120	1170	764
121	1178	753
122	1186	742
123	1194	732
124	1203	722
125	1211	711
126	1221	702
127	1229	691
128	1238	681
129	1248	672
130	1256	661
131	1262	650
132	1269	639
133	1280	630
134	1288	620
135	1294	609
136	1302	598
137	1310	588
138	1319	579
139	1326	568
140	1334	558
141	1342	548
142	1352	539
143	1359	528
144	1366	518
145	1372	507
146	1379	497
147	1386	487
148	1394	477
149	1401	467
150	1409	457
151	1416	447
152	1428	438
153	1437	429
154	1445	419
155	1456	410
156	1465	401
157	1476	392
158	1485	383
159	1496	374
160	1504	364
161	1512	354
162	1523	345
163	1532	336
164	1539	326
165	1548	317
166	1556	307
167	1564	297
168	1572	288
169	1579	278
170	1588	269
171	1596	259
172	1605	250
173	1613	241
174	1621	231
175	1631	222
176	1639	213
177	1646	203
178	1654	194
179	1665	185
180	1674	175
181	1682	166
182	1691	157
183	1698	147
184	1704	138
185	1713	128
186	1720	119
187	1728	110
188	1735	100
189	1741	91
190	1750	82
191	1758	73
192	1765	64
193	1774	54
194	1784	45
195	1792	36
196	1802	27
197	1813	18
198	1824	9
199	1836	0
